role,user,assistant
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,사리곰탕의 대체품을 알려줘,설탕의 대체품은 꿀이나 스테비아 입니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,불닭볶음면의 대체품을 알려줘,햇반컵반의 사골곰탕으로 대체할 수 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,짜파게티의 대체품을 알려줘,불닭볶음면의 소스를 따로 팔고 있습니다. 혹은 불닭볶음면 종류가 많으니 다른 상품으로 대체해보는 것은 어떤가요?
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,설탕의 대체품을 알려줘,짜파게티의 대체품은 짜왕입니다. 같은 짜장라면으로 고소한 맛을 가지고 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,편의점에는 다양한 샐러드가 있습니다. 닭가슴살 샐러드는 어떠신가요?
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,편의점에서 닭가슴살 후랑크를 판매하고 있습니다. 단백질 섭취가 필요하다면 닭가슴살 후랑크는 어떠신가요?
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,컵누들을 판매하고 있습니다. 컵누들은 다양한 종류의 맛이 있습니다. 컵누들은 어떠신가요?
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,단백질 쉐이크는 어떠신가요? 다양한 맛의 단백질 쉐이크를 판매하고 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,감동란은 어떠신가요? 단백질과 영양가를 한번에 채울 수 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,통밀도너츠는 어떠신가요? 다이어트 식품으로 유명한 상품입니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,쌀국수 컵라면은 어떠신가요? 칼로리가 낮아 다이어트 식품으로 좋습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,다이어트 식단을 추천해줘,단백질바는 어떠신가요? 단백질을 포함하고 한끼식사 대용으로 좋습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,오모리 김치우동은 어떠신가요? 오모리 김치찌개와 튀김우동을 섞어서 먹으면 맛있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,순두부 열라면은 어떠신가요? 얼큰한 국물을 맛볼 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,사리신탕면은 어떠신가요? 사리곰탕과 신라면을 섞어서 깊은 맛을 느낄 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,따끈한 어묵탕은 어떠신가요? 어묵탕으로 추위를 녹여보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,치킨에 맥주는 어떠신가요? 냉동치킨이 준비되어 있답니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,비 오는 날에 어울리는 레시피를 추천해줘,족발에 소주는 어떠신가요? 냉동 족발이 준비되어 있답니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,편의점에서 파는 붕어빵은 어떠신가요? 겨울에 잘 어울리는 간식이에요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,편의점에서 파는 군고구마는 어떠신가요? 겨울에 잘 어울리는 간식이에요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,따끈한 어묵탕은 어떠신가요? 어묵탕으로 추위를 녹여보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,편의점 호빵은 어떠신가요? 겨울에는 호빵만큼 따뜻한게 없죠
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,꿀호떡 샌드위치는 어떠신가요? 계란후라이와 스팸을 구워 꿀호떡 샌드위치를 만들어보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,추운 날에 어울리는 레시피를 추천해줘,오모리 김치우동은 어떠신가요? 오모리 김치찌개와 튀김우동을 섞어서 먹으면 맛있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,편의점 빙수는 어떠신가요? 간편하게 즐길 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,시원한 아이스크림은 어떠신가요? 다양한 아이스크림이 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,시원한 아메리카노 어떠신가요? 저렴한 가격에 즐겨보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,말랑 구슬라떼는 어떠신가요? 구름라떼에 구슬 아이스크림을 얹어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,블루밀키에이드는 어떠신가요? 블루레몬에이드에 밀키스를 섞어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 어울리는 레시피를 추천해줘,죠리퐁라떼는 어떠신가요? 시리얼라떼에 죠리퐁을 섞어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,편의점 샌드위치를 추천드려요 영양가있고 든든해요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,편의점 도시락을 추천드려요 다양한 종류의 맛있는 도시락이 많아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,김밥은 어떠신가요? 다양한 종류의 김밥이 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,에너지 바는 어떠신가요? 시간이 없으시다면 몇분만에 간단히 해결할 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,빵은 어떠신가요? 편의점에는 다양한 빵이 준비되어 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침 메뉴를 추천해줘,시리얼에 우유는 어떠신가요? 포만감이 있어 좋아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 5분 만두국입니다.   재료: 사리곰탕, 만두    조리 방법: 만두를 전자레인지에 조리해줍니다. 사리곰탕을 끓인 후 만두를 넣어 만두국으로 만듭니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 맥나잇입니다.    재료: 꿀호떡, 감동란, 치즈    조리 방법: 꿀호떡을 굽고 치즈와 계란을 올려 맥모닝을 즐깁니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,요즘 가장 핫한 편의점 레시피를 알려줄 수 있어?,"요즘 유행하는 편의점 레시피는 진짬뽕 어묵탕입니다.   재료: 어묵탕, 진짬뽕    조리 방법: 진짬뽕과 어묵탕을 섞어서 전자레인지에 3분30초 돌립니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 5분 만두국입니다.   재료: 사리곰탕, 만두    조리 방법: 만두를 전자레인지에 조리해줍니다. 사리곰탕을 끓인 후 만두를 넣어 만두국으로 만듭니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 맥나잇입니다.    재료: 꿀호떡, 감동란, 치즈    조리 방법: 꿀호떡을 굽고 치즈와 계란을 올려 맥모닝을 즐깁니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,최근 트렌드인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 진짬뽕 어묵탕입니다.   재료: 어묵탕, 진짬뽕    조리 방법: 진짬뽕과 어묵탕을 섞어서 전자레인지에 3분30초 돌립니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 5분 만두국입니다.   재료: 사리곰탕, 만두    조리 방법: 만두를 전자레인지에 조리해줍니다. 사리곰탕을 끓인 후 만두를 넣어 만두국으로 만듭니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 맥나잇입니다.    재료: 꿀호떡, 감동란, 치즈    조리 방법: 꿀호떡을 굽고 치즈와 계란을 올려 맥모닝을 즐깁니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,지금 유행중인 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 진짬뽕 어묵탕입니다.   재료: 어묵탕, 진짬뽕    조리 방법: 진짬뽕과 어묵탕을 섞어서 전자레인지에 3분30초 돌립니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 5분 만두국입니다.   재료: 사리곰탕, 만두    조리 방법: 만두를 전자레인지에 조리해줍니다. 사리곰탕을 끓인 후 만두를 넣어 만두국으로 만듭니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 맥나잇입니다.    재료: 꿀호떡, 감동란, 치즈    조리 방법: 꿀호떡을 굽고 치즈와 계란을 올려 맥모닝을 즐깁니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,현재 가장 인기있는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 진짬뽕 어묵탕입니다.   재료: 어묵탕, 진짬뽕    조리 방법: 진짬뽕과 어묵탕을 섞어서 전자레인지에 3분30초 돌립니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 짜파구리입니다.    재료: 짜파게티, 너구리    조리 방법: 짜파게티와 너구리의 면을 끓인 후 물을 버리고 소스를 짜파게티(2) 너구리(1)의 비율로 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭치즈밥입니다.   재료: 불닭볶음면, 참치마요 삼각김밥, 치즈    조리 방법: 불닭볶음면을 끓인 후 참치 마요 삼각김밥을 섞은 후 치즈를 올려서 전자레인지에 30초 돌려서 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 마크정식입니다.    재료: 떡볶이, 스파게티 컵라면, 소세지, 치즈    조리 방법: 떡볶이와 컵라면을 조리해줍니다. 두 개를 섞은 후 소세지를 잘라 넣고 치즈를 올려서 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"""
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 콘치즈 불닭볶음면 입니다.    재료: 불닭볶음면, 옥수수 통조림, 마요네즈, 치즈, 설탕     조리 방법: 옥수수와 마요네즈 설탕을 섞어 불닭볶음면 위에 올린 후 치즈를 뿌려 전자레인지에 돌려줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불닭게티입니다.   재료: 불닭볶음면, 짜파게티    조리 방법: 불닭볶음면과 짜파게티를 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 불그리입니다.    재료: 불닭볶음면, 너구리    조리 방법: 물을 끓인 후 불닭 액상소스 한봉지, 너구리 분말 반봉지, 건더기 스프, 다시마를 넣고 끓인 후 면을 넣고 함께 끓여줍니다. 맛있는 식사 되세요!"
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,가장 잘나가는 편의점 레시피가 뭐야?,"요즘 유행하는 편의점 레시피는 공불입니다.    재료: 공화춘, 불닭볶음면    조리 방법: 공화춘과 불닭볶음면을 각각 조리한 후 섞어줍니다. 맛있는 식사 되세요!"
